"","GEOID","total","over_200","percent"
"1","06037101110",1638,50,3.05250305250305
"2","06037101122",1231,115,9.34199837530463
"3","06037101210",2200,12,0.545454545454546
"4","06037101220",1219,0,0
"5","06037101300",1535,106,6.90553745928339
"6","06037101400",1476,54,3.65853658536585
"7","06037102103",656,47,7.16463414634146
"8","06037102104",1338,136,10.1644245142003
"9","06037102105",572,0,0
"10","06037102107",1259,45,3.57426528991263
"11","06037103101",908,23,2.53303964757709
"12","06037103102",1617,71,4.39084724799011
"13","06037103200",2235,121,5.41387024608501
"14","06037103300",1284,203,15.809968847352
"15","06037103400",2466,96,3.89294403892944
"16","06037104103",736,0,0
"17","06037104105",1381,10,0.724112961622013
"18","06037104108",1320,0,0
"19","06037104124",1120,7,0.625
"20","06037104201",885,0,0
"21","06037104203",960,0,0
"22","06037104204",685,42,6.13138686131387
"23","06037104310",840,27,3.21428571428571
"24","06037104320",1120,0,0
"25","06037104401",592,10,1.68918918918919
"26","06037104403",592,0,0
"27","06037104404",628,0,0
"28","06037104500",678,0,0
"29","06037104610",703,0,0
"30","06037104620",739,10,1.3531799729364
"31","06037104701",878,0,0
"32","06037104703",484,0,0
"33","06037104704",1078,45,4.17439703153989
"34","06037104810",1045,0,0
"35","06037104821",724,0,0
"36","06037104822",524,0,0
"37","06037106010",851,38,4.46533490011751
"38","06037106020",1224,58,4.73856209150327
"39","06037106111",1415,43,3.03886925795053
"40","06037106112",1483,47,3.16925151719487
"41","06037106113",907,13,1.43329658213892
"42","06037106114",1527,10,0.654878847413229
"43","06037106403",702,0,0
"44","06037106405",996,0,0
"45","06037106406",1439,16,1.11188325225851
"46","06037106407",764,0,0
"47","06037106408",980,0,0
"48","06037106510",1445,83,5.7439446366782
"49","06037106520",1316,24,1.82370820668693
"50","06037106603",1016,124,12.2047244094488
"51","06037106604",1100,0,0
"52","06037106641",751,91,12.1171770972037
"53","06037106642",1075,62,5.76744186046512
"54","06037106643",1340,219,16.3432835820896
"55","06037106645",1145,165,14.410480349345
"56","06037106646",951,74,7.78128286014721
"57","06037106648",915,0,0
"58","06037106649",688,81,11.7732558139535
"59","06037107010",741,10,1.34952766531714
"60","06037107020",1273,7,0.549882168106834
"61","06037108101",813,143,17.5891758917589
"62","06037108102",1243,151,12.1480289621883
"63","06037108103",1094,276,25.2285191956124
"64","06037108104",600,126,21
"65","06037108201",1933,265,13.7092602172788
"66","06037108202",1834,382,20.8287895310796
"67","06037109100",716,0,0
"68","06037109200",901,0,0
"69","06037109300",876,28,3.19634703196347
"70","06037109400",1071,36,3.36134453781513
"71","06037109500",1051,19,1.80780209324453
"72","06037109601",1279,41,3.20562939796716
"73","06037109603",1310,21,1.6030534351145
"74","06037109604",937,20,2.13447171824973
"75","06037109700",1306,53,4.05819295558959
"76","06037109800",1351,103,7.6239822353812
"77","06037111100",972,68,6.99588477366255
"78","06037111201",1085,57,5.25345622119816
"79","06037111202",1808,156,8.6283185840708
"80","06037111204",1951,475,24.3464889800102
"81","06037111205",1349,114,8.45070422535211
"82","06037111206",1460,236,16.1643835616438
"83","06037111301",2652,54,2.03619909502262
"84","06037111302",1740,83,4.77011494252874
"85","06037111400",2707,66,2.43812338381973
"86","06037113101",1152,154,13.3680555555556
"87","06037113102",943,182,19.3001060445387
"88","06037113211",1531,240,15.676028739386
"89","06037113212",1062,35,3.29566854990584
"90","06037113213",1675,98,5.85074626865672
"91","06037113231",823,132,16.0388821385176
"92","06037113232",1387,61,4.39798125450613
"93","06037113233",2236,20,0.894454382826476
"94","06037113234",1467,53,3.61281526925699
"95","06037113235",664,4,0.602409638554217
"96","06037113237",1339,148,11.0530246452577
"97","06037113301",730,170,23.2876712328767
"98","06037113303",1360,99,7.27941176470588
"99","06037113321",2386,110,4.61022632020117
"100","06037113322",1373,177,12.8914785142025
"101","06037113401",1692,40,2.36406619385343
"102","06037113421",1898,0,0
"103","06037113422",2068,20,0.967117988394584
"104","06037115101",1678,365,21.7520858164482
"105","06037115103",70,0,0
"106","06037115104",1648,122,7.40291262135922
"107","06037115201",2778,98,3.52771778257739
"108","06037115202",1822,64,3.51262349066959
"109","06037115301",1633,90,5.51132884262094
"110","06037115302",989,24,2.42669362992922
"111","06037115401",1986,118,5.94159113796576
"112","06037115403",1043,6,0.575263662511985
"113","06037115404",782,18,2.30179028132992
"114","06037117101",1256,66,5.25477707006369
"115","06037117102",808,18,2.22772277227723
"116","06037117201",1144,8,0.699300699300699
"117","06037117202",641,55,8.58034321372855
"118","06037117301",1211,54,4.45912469033856
"119","06037117302",1673,104,6.21637776449492
"120","06037117303",1055,51,4.83412322274881
"121","06037117404",1296,66,5.09259259259259
"122","06037117405",791,0,0
"123","06037117407",821,0,0
"124","06037117408",905,0,0
"125","06037117510",1022,0,0
"126","06037117520",862,27,3.1322505800464
"127","06037117530",1514,55,3.6327608982827
"128","06037119001",943,24,2.54506892895016
"129","06037119002",1414,28,1.98019801980198
"130","06037119201",864,0,0
"131","06037119202",937,0,0
"132","06037119310",1030,16,1.55339805825243
"133","06037119320",1031,8,0.775945683802134
"134","06037119340",936,0,0
"135","06037119341",740,5,0.675675675675676
"136","06037119342",776,0,0
"137","06037119400",1088,13,1.19485294117647
"138","06037119700",1238,22,1.77705977382876
"139","06037119800",1329,13,0.978179082016554
"140","06037119900",1208,0,0
"141","06037120010",673,0,0
"142","06037120020",1105,16,1.44796380090498
"143","06037120030",655,0,0
"144","06037120103",845,0,0
"145","06037120104",783,0,0
"146","06037120105",883,16,1.81200453001133
